distance,time
3371,23.513998
3346,35.035764
3336,26.211122
3346,23.440587
3359,23.34785
3369,26.723421
3323,27.212194
3346,30.409299
3346,23.404676
3336,23.834079
3359,23.902422
3323,31.682416
3369,20.966996
3336,20.965857
3336,30.385983
3336,27.308024
3369,23.493283
3371,24.082818
3336,37.304727
3323,23.36967
3336,23.482099
3336,23.460964
3336,26.316595
3369,34.793047
3346,16.544842
3359,27.223664
3369,24.242858
3336,26.367138
3346,23.137054
3336,23.556808
3346,32.837477
3359,27.82555
3346,36.741197
3336,23.101466
3346,27.198296
3346,24.1119
3359,32.549871
3346,25.52368
3346,33.561611
3346,20.889827
3346,29.742874
3369,23.543863
3346,28.452267
3323,27.187761
3369,28.456802
3336,23.440236
3323,25.820863
3346,37.212249
3346,23.153013
3346,31.979259
3346,24.249061
3346,28.131579
3336,23.854154
3346,23.578447
3346,37.293396
3346,23.948145
3336,24.424041
3369,23.726533
3359,36.731083
3336,25.11591
3346,35.779677
3371,24.955677
3346,23.408032
3346,23.746678
3336,27.636962
3346,20.21729
3323,28.045546
3359,30.381803
3336,25.802419
3369,-4266.304975
3369,18.295551
3371,23.69102
3346,24.097733
3336,23.113896
3336,25.275302
3346,33.575312
3371,20.969492
3346,27.289258
3336,25.226754
3371,29.279692
3346,21.371713
3336,21.652393
3346,37.019325
3336,23.95387
3336,23.352265
3346,24.136045
3371,23.336062
3346,37.146024
3336,23.472588
3369,28.14494
3336,21.01198
3346,24.210247
3336,33.496494
3346,25.00663
3346,23.734391
3346,23.429147
3369,33.756685
3346,17.841197
3371,24.707558
3323,34.73885
3336,23.532988
3369,23.377542
3323,23.376103
3346,31.16305
3369,21.027459
3323,32.08506
3346,23.361357
3346,23.472507
3346,23.404123
3336,23.45638
3336,23.99871
3371,25.332573
3346,35.383228
3359,23.313942
3336,29.184247
3336,30.452167
3346,20.95513
3369,29.084589
3369,25.297763
3346,23.507573
3346,31.814777
3369,24.121446
3369,27.278499
3346,24.160487
3346,23.831902
3336,23.794701
3346,23.933938
3346,23.577737
3371,34.942362
3336,28.315515
3371,23.640916
3323,30.300092
3336,27.342731
3371,27.152031
3336,23.424412
3323,21.83918
3323,25.149762
3336,23.666795
3346,25.644649
3346,23.779932
3346,24.208243
3371,35.497493
3346,24.199786
3323,25.195238
3371,23.422927
3336,27.039569
3346,24.124361
3369,24.323208
3371,34.178647
3359,23.759534
3336,23.581598
3346,31.208507
3369,21.081404
3346,30.445245
3346,27.321694
3346,24.117723
3336,23.922703
3359,23.999374
3323,23.412669
3323,23.952218
3336,23.459227
3336,23.588173
3346,36.072793
3346,24.614594
3359,26.746237
3369,30.367552
3336,27.376607
3346,23.567742
3323,25.496795
3346,23.877937
3346,23.694893
3336,23.635314
3371,23.592245
3346,36.656181
3346,19.627224
3336,20.976653
3371,32.187926
3371,23.279249
3346,26.026124
3346,30.286483
