distance,time
3323,195.841259
3336,202.843368
3323,195.577155
3336,195.690351
3323,210.163156
3336,211.6955
3336,194.651823
3336,203.62859
3336,191.467691
3336,206.847631
3346,198.907419
3323,210.496268
3336,-4099.643852
3336,204.257028
3323,191.353093
3336,209.259109
3336,194.991201
3323,200.111194
3336,198.824904
3336,216.277155
3323,199.451766
3336,205.340222
3336,200.016253
3323,205.723135
3336,209.475841
3323,199.860179
3323,210.037303
3336,209.019734
3336,196.599384
3336,199.818705
3336,212.672741
3323,203.082738
3336,197.631297
3336,-4090.4394
3336,204.081265
3323,197.881618
3323,209.244715
3336,208.493667
3336,196.174127
3336,202.006041
3336,197.692095
3323,201.371118
3336,210.927823
3323,194.924194
3336,213.973462
3336,210.869913
3323,203.650388
3336,199.331096
3323,212.948225
3336,200.160488
3323,208.667587
3323,199.904891
3336,205.818818
3346,197.827674
3323,-4099.646307
3336,210.144812
3336,210.465524
3323,205.360955
3323,207.517051
3323,198.393858
3346,212.815843
3323,195.173704
3323,202.006297
3323,201.600091
3323,207.366357
3323,200.843195
3336,204.668727
3336,204.878437
3336,200.243081
3323,201.464681
3323,212.897448
3336,194.59375
3323,196.446328
3336,196.033231
3323,204.131691
3323,-4076.589906
3323,204.089004
3336,201.003708
3336,198.253396
3323,194.794163
3336,199.368692
3323,217.183341
3323,213.962233
3336,211.759204
3323,196.144387
3323,212.295342
3336,212.829408
3346,198.209067
3336,205.922951
3323,197.658369
3336,195.10212
3336,211.763169
3323,208.778778
3336,197.72325
3336,208.758386
3323,194.398961
3336,-4100.615471
3336,196.583337
3323,197.601477
3336,192.587421
3336,181.645614
3323,197.509155
3336,188.103898
3323,192.790921
3336,182.405426
3336,188.605537
3336,196.327943
3336,188.935639
3336,185.837759
3336,192.925033
3323,178.53388
3323,194.87056
3336,180.801916
3336,190.656832
3323,181.789102
3336,184.547922
3336,185.751315
3323,192.996746
3323,193.049852
3323,-4111.82181
3323,178.388596
3323,228.776577
3323,190.403223
3323,192.385707
3336,188.219905
3336,189.574257
3336,178.098365
3323,186.996025
3323,193.308607
3336,189.983448
3336,195.030657
3323,190.99914
3323,201.206888
3323,184.163541
3323,177.7736
3336,190.722699
3336,189.300635
3336,189.081407
3336,198.757901
3336,215.987338
3336,197.891128
3323,-4107.469143
3323,200.662642
3323,202.452206
3336,194.383379
3336,189.043928
3336,215.058045
3323,194.339693
3323,198.164021
3323,206.808023
3323,194.048531
3336,193.681342
3336,202.176804
3323,188.68122
3336,186.645835
3323,191.092354
3336,219.602393
3336,209.743269
3323,199.753905
3336,185.962504
3323,196.780521
3336,208.920737
3336,199.190415
3336,-4100.197557
3323,202.877258
3336,205.313443
3336,205.242402
3336,163.000266
3336,182.55726
3336,185.322805
3323,185.704907
3336,194.548157
3323,180.446755
3336,190.852052
3336,194.583352
3336,204.077773
3336,202.269992
3323,195.198946
3336,188.229759
3336,196.691128
3336,189.562396
3336,184.461397
3336,192.716441
3323,212.270205
3336,204.475998
3336,-4084.421977
3323,197.909592
3336,194.782695
3336,201.726255
3336,192.486916
3323,197.072497
3323,213.355432
3336,203.07763
3336,198.50539
3336,210.24205
3336,203.04023
3336,208.713084
3336,191.693536
3336,188.538929
3336,210.411592
3323,192.112906
3336,199.435819
3323,205.05354
3323,198.761512
3323,200.928807
3336,208.835196
3336,-4100.584221
3323,200.172153
3336,212.796266
3323,195.529719
3323,196.131275
3346,209.978664
3336,204.217012
3323,208.387711
3336,198.125499
3323,200.40262
3336,198.653841
3323,208.14874
3323,191.361152
3336,202.193605
3323,193.904191
3323,217.078445
3336,193.138881
3323,193.818099
3336,193.334519
3323,198.388672
3336,191.332825
3336,197.76244
3336,-4103.596644
3323,199.062998
3336,214.634255
3336,196.174179
3336,197.943288
3323,193.978535
3336,208.500848
3323,203.517598
3336,202.165911
3323,196.228707
3336,208.443307
3323,212.870061
3336,211.698713
3336,194.480082
3336,217.670755
3323,194.46653
3323,198.273425
3323,201.482197
3336,203.737959
3336,210.146188
3336,213.807501
3336,-4080.636516
3323,197.969273
3336,195.441502
3323,196.554219
3336,207.033747
3336,208.083081
3323,209.720494
3336,209.553522
3323,212.578879
3323,209.257495
3323,207.805011
3323,199.940651
3323,215.379979
3336,205.136109
3336,196.312703
3323,206.303422
3336,217.680629
