ID,ant,alpha,beta,rho,elite,limit,distance
6,100,7,7,0.8,0.6,100,3371
7,100,7,7,0.8,0.6,100,3371
8,100,7,7,0.8,0.6,100,3371
9,100,7,7,0.8,0.6,100,3369
10,100,7,7,0.8,0.6,100,3346
11,100,7,7,0.8,0.6,100,3371
12,100,7,7,0.8,0.6,100,3346
13,100,7,7,0.8,0.6,100,3346
14,100,7,7,0.8,0.6,100,3346
15,100,7,7,0.8,0.6,100,3336
16,100,7,7,0.8,0.6,100,3336
17,100,7,7,0.8,0.6,100,3371
18,100,7,7,0.8,0.6,100,3369
19,100,7,7,0.8,0.6,100,3323
20,100,7,7,0.8,0.6,100,3369
21,100,7,7,0.8,0.6,100,3371
22,100,7,7,0.8,0.6,100,3336
23,100,7,7,0.8,0.6,100,3359
24,100,7,7,0.8,0.6,100,3371
25,100,7,7,0.8,0.6,100,3371
26,100,7,7,0.8,0.6,100,3371
27,100,7,7,0.8,0.6,100,3346
28,100,7,7,0.8,0.6,100,3371
29,100,7,7,0.8,0.6,100,3336
,100,7,7,0.8,0.6,100,3357
0,100,7,8,0.8,0.6,100,3371
1,100,7,8,0.8,0.6,100,3336
2,100,7,8,0.8,0.6,100,3336
3,100,7,8,0.8,0.6,100,3371
4,100,7,8,0.8,0.6,100,3346
5,100,7,8,0.8,0.6,100,3369
6,100,7,8,0.8,0.6,100,3336
7,100,7,8,0.8,0.6,100,3371
8,100,7,8,0.8,0.6,100,3371
9,100,7,8,0.8,0.6,100,3371
10,100,7,8,0.8,0.6,100,3371
11,100,7,8,0.8,0.6,100,3371
12,100,7,8,0.8,0.6,100,3336
13,100,7,8,0.8,0.6,100,3369
14,100,7,8,0.8,0.6,100,3371
15,100,7,8,0.8,0.6,100,3369
16,100,7,8,0.8,0.6,100,3371
17,100,7,8,0.8,0.6,100,3336
18,100,7,8,0.8,0.6,100,3346
19,100,7,8,0.8,0.6,100,3323
20,100,7,8,0.8,0.6,100,3371
21,100,7,8,0.8,0.6,100,3371
22,100,7,8,0.8,0.6,100,3371
23,100,7,8,0.8,0.6,100,3346
24,100,7,8,0.8,0.6,100,3371
25,100,7,8,0.8,0.6,100,3369
26,100,7,8,0.8,0.6,100,3371
27,100,7,8,0.8,0.6,100,3369
28,100,7,8,0.8,0.6,100,3371
29,100,7,8,0.8,0.6,100,3371
,100,7,8,0.8,0.6,100,3360
0,100,7,9,0.8,0.6,100,3371
1,100,7,9,0.8,0.6,100,3371
2,100,7,9,0.8,0.6,100,3336
3,100,7,9,0.8,0.6,100,3371
4,100,7,9,0.8,0.6,100,3371
5,100,7,9,0.8,0.6,100,3371
6,100,7,9,0.8,0.6,100,3336
7,100,7,9,0.8,0.6,100,3371
8,100,7,9,0.8,0.6,100,3323
9,100,7,9,0.8,0.6,100,3371
10,100,7,9,0.8,0.6,100,3346
11,100,7,9,0.8,0.6,100,3371
12,100,7,9,0.8,0.6,100,3369
13,100,7,9,0.8,0.6,100,3369
14,100,7,9,0.8,0.6,100,3371
15,100,7,9,0.8,0.6,100,3371
16,100,7,9,0.8,0.6,100,3336
17,100,7,9,0.8,0.6,100,3371
18,100,7,9,0.8,0.6,100,3371
19,100,7,9,0.8,0.6,100,3371
20,100,7,9,0.8,0.6,100,3371
21,100,7,9,0.8,0.6,100,3371
22,100,7,9,0.8,0.6,100,3371
23,100,7,9,0.8,0.6,100,3369
24,100,7,9,0.8,0.6,100,3369
25,100,7,9,0.8,0.6,100,3371
26,100,7,9,0.8,0.6,100,3371
27,100,7,9,0.8,0.6,100,3371
28,100,7,9,0.8,0.6,100,3371
29,100,7,9,0.8,0.6,100,3371
,100,7,9,0.8,0.6,100,3364
0,200,0,7,0.8,0.6,100,3346
1,200,0,7,0.8,0.6,100,3336
2,200,0,7,0.8,0.6,100,3336
3,200,0,7,0.8,0.6,100,3336
4,200,0,7,0.8,0.6,100,3359
5,200,0,7,0.8,0.6,100,3346
6,200,0,7,0.8,0.6,100,3323
7,200,0,7,0.8,0.6,100,3336
8,200,0,7,0.8,0.6,100,3346
9,200,0,7,0.8,0.6,100,3346
10,200,0,7,0.8,0.6,100,3346
11,200,0,7,0.8,0.6,100,3346
12,200,0,7,0.8,0.6,100,3346
13,200,0,7,0.8,0.6,100,3323
14,200,0,7,0.8,0.6,100,3369
15,200,0,7,0.8,0.6,100,3346
16,200,0,7,0.8,0.6,100,3336
17,200,0,7,0.8,0.6,100,3336
18,200,0,7,0.8,0.6,100,3371
19,200,0,7,0.8,0.6,100,3369
20,200,0,7,0.8,0.6,100,3346
21,200,0,7,0.8,0.6,100,3369
22,200,0,7,0.8,0.6,100,3346
23,200,0,7,0.8,0.6,100,3359
24,200,0,7,0.8,0.6,100,3336
25,200,0,7,0.8,0.6,100,3346
26,200,0,7,0.8,0.6,100,3336
27,200,0,7,0.8,0.6,100,3369
28,200,0,7,0.8,0.6,100,3336
29,200,0,7,0.8,0.6,100,3371
,200,0,7,0.8,0.6,100,3347
0,200,0,8,0.8,0.6,100,3369
1,200,0,8,0.8,0.6,100,3336
2,200,0,8,0.8,0.6,100,3371
3,200,0,8,0.8,0.6,100,3371
4,200,0,8,0.8,0.6,100,3346
5,200,0,8,0.8,0.6,100,3346
6,200,0,8,0.8,0.6,100,3371
7,200,0,8,0.8,0.6,100,3371
8,200,0,8,0.8,0.6,100,3359
9,200,0,8,0.8,0.6,100,3371
10,200,0,8,0.8,0.6,100,3346
11,200,0,8,0.8,0.6,100,3371
12,200,0,8,0.8,0.6,100,3359
13,200,0,8,0.8,0.6,100,3336
14,200,0,8,0.8,0.6,100,3371
15,200,0,8,0.8,0.6,100,3336
16,200,0,8,0.8,0.6,100,3369
17,200,0,8,0.8,0.6,100,3359
18,200,0,8,0.8,0.6,100,3336
19,200,0,8,0.8,0.6,100,3346
20,200,0,8,0.8,0.6,100,3346
21,200,0,8,0.8,0.6,100,3369
22,200,0,8,0.8,0.6,100,3371
23,200,0,8,0.8,0.6,100,3369
